year,city,avg_temp
1873,Abuja,25.77
1874,Abuja,25.80
1875,Abuja,25.42
1876,Abuja,25.72
1877,Abuja,25.97
1878,Abuja,25.98
1879,Abuja,25.36
1880,Abuja,25.60
1881,Abuja,25.93
1882,Abuja,25.58
1883,Abuja,25.90
1884,Abuja,26.07
1885,Abuja,24.84
1886,Abuja,25.38
1887,Abuja,24.82
1888,Abuja,25.15
1889,Abuja,25.21
1890,Abuja,24.48
1891,Abuja,25.02
1892,Abuja,25.21
1893,Abuja,25.21
1894,Abuja,25.38
1895,Abuja,25.58
1896,Abuja,25.46
1897,Abuja,25.93
1898,Abuja,25.43
1899,Abuja,25.83
1900,Abuja,25.95
1901,Abuja,25.84
1902,Abuja,25.52
1903,Abuja,25.50
1904,Abuja,25.07
1905,Abuja,25.40
1906,Abuja,25.63
1907,Abuja,25.35
1908,Abuja,25.63
1909,Abuja,25.86
1910,Abuja,25.78
1911,Abuja,25.53
1912,Abuja,25.65
1913,Abuja,26.21
1914,Abuja,26.37
1915,Abuja,26.12
1916,Abuja,25.92
1917,Abuja,26.64
1918,Abuja,25.93
1919,Abuja,26.50
1920,Abuja,25.94
1921,Abuja,26.31
1922,Abuja,26.36
1923,Abuja,26.11
1924,Abuja,26.41
1925,Abuja,25.79
1926,Abuja,26.48
1927,Abuja,26.36
1928,Abuja,26.33
1929,Abuja,26.09
1930,Abuja,26.48
1931,Abuja,26.82
1932,Abuja,26.25
1933,Abuja,26.50
1934,Abuja,26.31
1935,Abuja,26.47
1936,Abuja,26.37
1937,Abuja,26.44
1938,Abuja,26.63
1939,Abuja,26.08
1940,Abuja,26.45
1941,Abuja,26.99
1942,Abuja,26.76
1943,Abuja,26.28
1944,Abuja,26.48
1945,Abuja,26.34
1946,Abuja,26.26
1947,Abuja,26.60
1948,Abuja,26.04
1949,Abuja,26.45
1950,Abuja,26.21
1951,Abuja,26.20
1952,Abuja,26.09
1953,Abuja,26.23
1954,Abuja,25.95
1955,Abuja,25.91
1956,Abuja,25.93
1957,Abuja,26.12
1958,Abuja,26.37
1959,Abuja,26.31
1960,Abuja,26.19
1961,Abuja,25.93
1962,Abuja,26.05
1963,Abuja,26.49
1964,Abuja,26.08
1965,Abuja,26.19
1966,Abuja,26.22
1967,Abuja,26.01
1968,Abuja,26.29
1969,Abuja,26.47
1970,Abuja,26.41
1971,Abuja,26.27
1972,Abuja,26.09
1973,Abuja,26.78
1974,Abuja,26.03
1975,Abuja,25.89
1976,Abuja,26.17
1977,Abuja,26.43
1978,Abuja,26.14
1979,Abuja,26.46
1980,Abuja,26.41
1981,Abuja,26.20
1982,Abuja,26.28
1983,Abuja,26.49
1984,Abuja,26.41
1985,Abuja,26.32
1986,Abuja,26.38
1987,Abuja,27.06
1988,Abuja,26.49
1989,Abuja,25.82
1990,Abuja,26.74
1991,Abuja,26.39
1992,Abuja,26.08
1993,Abuja,26.44
1994,Abuja,26.18
1995,Abuja,26.62
1996,Abuja,26.58
1997,Abuja,26.48
1998,Abuja,27.04
1999,Abuja,26.85
2000,Abuja,26.32
2001,Abuja,26.58
2002,Abuja,26.95
2003,Abuja,26.84
2004,Abuja,26.95
2005,Abuja,27.09
2006,Abuja,27.24
2007,Abuja,27.20
2008,Abuja,26.75
2009,Abuja,27.19
2010,Abuja,27.35
2011,Abuja,27.09
2012,Abuja,26.93
2013,Abuja,27.25
1873,Kano,26.55
1874,Kano,25.55
1875,Kano,25.41
1876,Kano,25.38
1877,Kano,25.96
1878,Kano,26.13
1879,Kano,25.48
1880,Kano,25.57
1881,Kano,26.01
1882,Kano,25.52
1883,Kano,25.86
1884,Kano,26.06
1885,Kano,22.60
1886,Kano,25.28
1887,Kano,24.95
1888,Kano,25.22
1889,Kano,25.31
1890,Kano,24.51
1891,Kano,25.06
1892,Kano,25.33
1893,Kano,25.31
1894,Kano,25.43
1895,Kano,25.76
1896,Kano,25.48
1897,Kano,25.92
1898,Kano,25.48
1899,Kano,25.82
1900,Kano,25.92
1901,Kano,25.87
1902,Kano,25.65
1903,Kano,25.47
1904,Kano,25.08
1905,Kano,24.97
1906,Kano,25.53
1907,Kano,25.07
1908,Kano,25.61
1909,Kano,25.90
1910,Kano,25.64
1911,Kano,25.70
1912,Kano,25.34
1913,Kano,26.31
1914,Kano,26.71
1915,Kano,26.36
1916,Kano,25.82
1917,Kano,26.63
1918,Kano,26.08
1919,Kano,26.35
1920,Kano,25.51
1921,Kano,26.04
1922,Kano,26.31
1923,Kano,26.09
1924,Kano,26.35
1925,Kano,26.01
1926,Kano,26.52
1927,Kano,26.45
1928,Kano,26.59
1929,Kano,26.08
1930,Kano,26.56
1931,Kano,27.07
1932,Kano,26.25
1933,Kano,26.62
1934,Kano,26.17
1935,Kano,26.49
1936,Kano,26.27
1937,Kano,26.14
1938,Kano,26.55
1939,Kano,26.26
1940,Kano,26.50
1941,Kano,27.08
1942,Kano,26.87
1943,Kano,26.33
1944,Kano,26.40
1945,Kano,25.93
1946,Kano,26.12
1947,Kano,26.51
1948,Kano,25.85
1949,Kano,26.53
1950,Kano,25.91
1951,Kano,26.02
1952,Kano,25.92
1953,Kano,25.93
1954,Kano,26.07
1955,Kano,25.77
1956,Kano,26.02
1957,Kano,25.90
1958,Kano,26.44
1959,Kano,26.04
1960,Kano,26.24
1961,Kano,25.47
1962,Kano,26.12
1963,Kano,26.61
1964,Kano,26.05
1965,Kano,26.00
1966,Kano,26.00
1967,Kano,25.94
1968,Kano,26.20
1969,Kano,26.78
1970,Kano,26.21
1971,Kano,26.16
1972,Kano,26.53
1973,Kano,27.05
1974,Kano,25.97
1975,Kano,25.89
1976,Kano,26.31
1977,Kano,26.04
1978,Kano,26.13
1979,Kano,26.44
1980,Kano,26.37
1981,Kano,26.15
1982,Kano,26.37
1983,Kano,26.30
1984,Kano,26.53
1985,Kano,26.38
1986,Kano,26.60
1987,Kano,27.01
1988,Kano,26.33
1989,Kano,25.63
1990,Kano,26.85
1991,Kano,26.43
1992,Kano,25.96
1993,Kano,26.51
1994,Kano,26.13
1995,Kano,26.56
1996,Kano,26.64
1997,Kano,26.66
1998,Kano,26.93
1999,Kano,26.85
2000,Kano,26.38
2001,Kano,26.47
2002,Kano,26.96
2003,Kano,26.83
2004,Kano,26.99
2005,Kano,27.27
2006,Kano,27.26
2007,Kano,27.25
2008,Kano,26.71
2009,Kano,27.48
2010,Kano,27.64
2011,Kano,27.20
2012,Kano,26.87
2013,Kano,27.76
1873,Lagos,26.46
1874,Lagos,26.08
1875,Lagos,25.82
1876,Lagos,25.82
1877,Lagos,26.35
1878,Lagos,26.26
1879,Lagos,25.67
1880,Lagos,26.14
1881,Lagos,26.39
1882,Lagos,26.01
1883,Lagos,26.42
1884,Lagos,26.43
1885,Lagos,26.01
1886,Lagos,25.87
1887,Lagos,25.09
1888,Lagos,25.42
1889,Lagos,25.34
1890,Lagos,24.86
1891,Lagos,25.29
1892,Lagos,25.49
1893,Lagos,25.67
1894,Lagos,25.59
1895,Lagos,25.92
1896,Lagos,25.87
1897,Lagos,26.29
1898,Lagos,25.79
1899,Lagos,26.31
1900,Lagos,26.42
1901,Lagos,26.53
1902,Lagos,26.09
1903,Lagos,25.68
1904,Lagos,25.48
1905,Lagos,26.16
1906,Lagos,26.21
1907,Lagos,25.96
1908,Lagos,26.15
1909,Lagos,26.08
1910,Lagos,26.13
1911,Lagos,25.72
1912,Lagos,26.17
1913,Lagos,26.65
1914,Lagos,26.75
1915,Lagos,26.81
1916,Lagos,26.60
1917,Lagos,26.96
1918,Lagos,26.41
1919,Lagos,26.70
1920,Lagos,26.72
1921,Lagos,26.77
1922,Lagos,26.73
1923,Lagos,26.63
1924,Lagos,26.95
1925,Lagos,26.64
1926,Lagos,26.97
1927,Lagos,26.88
1928,Lagos,26.75
1929,Lagos,26.48
1930,Lagos,26.84
1931,Lagos,26.85
1932,Lagos,26.46
1933,Lagos,26.93
1934,Lagos,26.89
1935,Lagos,26.90
1936,Lagos,26.66
1937,Lagos,26.96
1938,Lagos,26.82
1939,Lagos,26.39
1940,Lagos,26.81
1941,Lagos,27.36
1942,Lagos,26.95
1943,Lagos,26.53
1944,Lagos,27.07
1945,Lagos,27.07
1946,Lagos,26.72
1947,Lagos,26.98
1948,Lagos,26.61
1949,Lagos,26.98
1950,Lagos,26.57
1951,Lagos,26.89
1952,Lagos,26.66
1953,Lagos,26.66
1954,Lagos,26.28
1955,Lagos,26.42
1956,Lagos,26.31
1957,Lagos,26.65
1958,Lagos,26.68
1959,Lagos,26.72
1960,Lagos,26.68
1961,Lagos,26.46
1962,Lagos,26.55
1963,Lagos,27.01
1964,Lagos,26.48
1965,Lagos,26.53
1966,Lagos,26.84
1967,Lagos,26.43
1968,Lagos,26.67
1969,Lagos,26.89
1970,Lagos,26.92
1971,Lagos,26.56
1972,Lagos,26.91
1973,Lagos,27.20
1974,Lagos,26.44
1975,Lagos,26.27
1976,Lagos,26.37
1977,Lagos,27.01
1978,Lagos,26.73
1979,Lagos,26.99
1980,Lagos,26.85
1981,Lagos,26.79
1982,Lagos,26.66
1983,Lagos,26.99
1984,Lagos,26.98
1985,Lagos,26.74
1986,Lagos,26.65
1987,Lagos,27.51
1988,Lagos,27.04
1989,Lagos,26.71
1990,Lagos,27.06
1991,Lagos,26.88
1992,Lagos,26.73
1993,Lagos,26.90
1994,Lagos,26.84
1995,Lagos,27.07
1996,Lagos,26.92
1997,Lagos,26.91
1998,Lagos,27.53
1999,Lagos,27.03
2000,Lagos,27.02
2001,Lagos,26.92
2002,Lagos,27.13
2003,Lagos,27.37
2004,Lagos,27.32
2005,Lagos,27.39
2006,Lagos,27.53
2007,Lagos,27.46
2008,Lagos,27.30
2009,Lagos,27.53
2010,Lagos,27.79
2011,Lagos,27.35
2012,Lagos,27.15
2013,Lagos,27.36
